Наименование услуги; Главное изображение; Длительность; Стоимость; Действующая скидка
Индивидуальный урок английского языка с преподавателем-носителем языка; Услуги школы\Английский язык.jpg; 7200 сек.; 1300 рублей; нет
Интенсивный курс с преподавателем-носителем немецкого языка для компаний; Услуги школы\for company.jpg; 120 мин.; 1180₽; 20%
Интенсивный онлайн-курс немецкого языка для компаний по Skype; Услуги школы\online lessons.jpg; 4200 сек.; 1840₽; 10%
Урок в группе итальянского языка для школьников; Услуги школы\Итальянский язык.jpg; 6000 сек.; 1410₽; 15%
Индивидуальный урок итальянского языка с русскоязычным преподавателем; Услуги школы\Итальянский язык.jpg; 30 мин.; 1330 руб.; 20%
Интенсивный онлайн-курс китайского языка для компаний по Skype; Услуги школы\online lessons.jpg; 120 мин.; 1760 рублей; 15%
Занятие с русскоязычным репетитором французского языка; Услуги школы\Французский язык.jpg; 6000 сек.; 1870; 20%
Индивидуальный урок немецкого языка с русскоязычным преподавателем; Услуги школы\Немецкий язык.png; 1800 сек.; 990 рублей; 5%
Индивидуальный онлайн-урок английского языка по Skype; Услуги школы\online lessons.jpg; 6000 сек.; 1880₽; нет
Индивидуальный урок французского языка с русскоязычным преподавателем; Услуги школы\Французский язык.jpg; 4200 сек.; 1390 руб.; нет
Интенсивный курс португальского языка с русскоязычным преподавателем для компаний; Услуги школы\for company.jpg; 60 мин.; 2010 рублей; 25%
Индивидуальный онлайн-урок французского языка по Skype; Услуги школы\online lessons.jpg; 7200 сек.; 2010₽; нет
Интенсивный курс английского языка с русскоязычным преподавателем для компаний; Услуги школы\for company.jpg; 4800 сек.; 1210 руб.; нет
Урок в группе французского языка для взрослых; Услуги школы\Французский язык.jpg; 120 мин.; 960 рублей; 15%
Подготовка к экзамену IELTS Speaking Club; Услуги школы\Подготовка к экзамену IELTS.jpg; 90 мин.; 1430 рублей; 20%
Киноклуб итальянского языка для детей; Услуги школы\киноклуб.jpg; 70 мин.; 1480₽; нет
Урок в группе итальянского языка для студентов; Услуги школы\Итальянский язык.jpg; 110 мин.; 1020₽; нет
Индивидуальный урок итальянского языка с преподавателем-носителем языка; Услуги школы\Итальянский язык.jpg; 80 мин.; 1690 рублей; нет
Киноклуб немецкого языка для детей; Услуги школы\киноклуб.jpg; 120 мин.; 1670 рублей; 5%
Киноклуб итальянского языка для взрослых; Услуги школы\киноклуб.jpg; 110 мин.; 1760 руб.; нет
Киноклуб португальского языка для взрослых; Услуги школы\киноклуб.jpg; 1800 сек.; 950 руб.; 5%
Киноклуб португальского языка для детей; Услуги школы\киноклуб.jpg; 90 мин.; 1710; 15%
Киноклуб французского языка для детей; Услуги школы\киноклуб.jpg; 90 мин.; 1600₽; 10%
Урок в группе японского языка для взрослых; Услуги школы\Японский язык.jpg; 80 мин.; 1420₽; 5%
Интенсивный курс французского языка с русскоязычным преподавателем для компаний; Услуги школы\for company.jpg; 40 мин.; 1940 рублей; нет
Занятие с русскоязычным репетитором итальянского языка; Услуги школы\Итальянский язык.jpg; 4200 сек.; 1620 руб.; 20%
Индивидуальный урок английского языка с русскоязычным преподавателем; Услуги школы\Английский язык.jpg; 30 мин.; 1910 руб.; 10%
Интенсивный курс с преподавателем-носителем португальского языка для компаний; Услуги школы\for company.jpg; 30 мин.; 1580 рублей; нет
Интенсивный курс испанского языка с русскоязычным преподавателем для компаний; Услуги школы\for company.jpg; 5400 сек.; 1000₽; 25%
Киноклуб немецкого языка для студентов; Услуги школы\киноклуб.jpg; 50 мин.; 1140 рублей; 15%
Занятие с репетитором-носителем французского языка; Услуги школы\Французский язык.jpg; 50 мин.; 2040 рублей; нет
Урок в группе немецкого языка для студентов; Услуги школы\Немецкий язык.png; 4200 сек.; 1240; нет
Занятие с русскоязычным репетитором китайского языка; Услуги школы\Китайский язык.jpg; 6600 сек.; 940; 15%
Занятие с репетитором-носителем японского языка; Услуги школы\Японский язык.jpg; 3000 сек.; 1100; 25%
Урок в группе французского языка для студентов; Услуги школы\Французский язык.jpg; 1800 сек.; 1910 руб.; нет
Интенсивный курс итальянского языка с русскоязычным преподавателем для компаний; Услуги школы\for company.jpg; 110 мин.; 900₽; нет
Занятие с русскоязычным репетитором английского языка; Услуги школы\Английский язык.jpg; 90 мин.; 1950₽; 15%
Интенсивный курс с преподавателем-носителем испанского языка для компаний; Услуги школы\for company.jpg; 90 мин.; 1660₽; нет
Интенсивный курс с преподавателем-носителем японского языка для компаний; Услуги школы\for company.jpg; 4200 сек.; 1380; 20%
